DiseaseName,DiseaseCode,Country,CountryCode,Registry,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.0,0.21,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,9.28,6.78,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,126.96,110.29,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,350.7,321.47,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,297.78,278.36,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.0,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.27,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,4.24,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,13.18,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,11.76,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.31,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.61,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,21.45,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,52.89,,1957
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,22.08,,1957
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.21,0.0,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.57,1.12,1958
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,6.64,5.41,1958
