rank,Disease_label,Disease_uri,GeneFusion_label,GeneFusion_uri,confidence
26,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CTSB::FAR1,lucia:gene_fusion/CTSB::FAR1,0.0006
27,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,UBAP2::APTX,lucia:gene_fusion/UBAP2::APTX,0.0006
28,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SFTPB::MUC1,lucia:gene_fusion/SFTPB::MUC1,0.0006
29,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SLC34A2::ROS1,lucia:gene_fusion/SLC34A2::ROS1,0.0006
30,Carcinoma in situ of lung,lucia:disease/C0685053,LYST::NID1,lucia:gene_fusion/LYST::NID1,0.0006
31,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,JMJD1C::TMEM178B,lucia:gene_fusion/JMJD1C::TMEM178B,0.0005
32,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SUSD6::TXNDC16,lucia:gene_fusion/SUSD6::TXNDC16,0.0005
33,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,UBE2D2::SND1,lucia:gene_fusion/UBE2D2::SND1,0.0005
34,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,GOSR2::UTP6,lucia:gene_fusion/GOSR2::UTP6,0.0005
35,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,KIF5B::RET,lucia:gene_fusion/KIF5B::RET,0.0005
36,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CSNK1E::SPRR3,lucia:gene_fusion/CSNK1E::SPRR3,0.0005
37,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,DDX5::PFKP,lucia:gene_fusion/DDX5::PFKP,0.0004
38,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,TMEM87B::MERTK,lucia:gene_fusion/TMEM87B::MERTK,0.0004
39,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,PALS1::GPHN,lucia:gene_fusion/PALS1::GPHN,0.0004
40,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,RAB3D::SPC24,lucia:gene_fusion/RAB3D::SPC24,0.0004
41,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SEL1L::SERTAD2,lucia:gene_fusion/SEL1L::SERTAD2,0.0004
42,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,EXOC4::BRAF,lucia:gene_fusion/EXOC4::BRAF,0.0004
43,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,SPTLC2::PID1,lucia:gene_fusion/SPTLC2::PID1,0.0004
44,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,RBM48::PPP1R3A,lucia:gene_fusion/RBM48::PPP1R3A,0.0004
45,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,EPS8L2::DCDC1,lucia:gene_fusion/EPS8L2::DCDC1,0.0004
46,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,TRA2A::POU6F2,lucia:gene_fusion/TRA2A::POU6F2,0.0004
47,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,CIC::KLK11,lucia:gene_fusion/CIC::KLK11,0.0004
48,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,PIK3CB::GRM7,lucia:gene_fusion/PIK3CB::GRM7,0.0004
49,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,LCLAT1::ALK,lucia:gene_fusion/LCLAT1::ALK,0.0004
50,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,FRMD8::DPF2,lucia:gene_fusion/FRMD8::DPF2,0.0004
