DiseaseCui,DiseaseName,GeneFusion
C0149782,Squamous cell carcinoma of lung,DUSP12::CR2
C0149782,Squamous cell carcinoma of lung,RTN4R::SLC35G2
C0149782,Squamous cell carcinoma of lung,ICAM1::HNRNPM
C0149782,Squamous cell carcinoma of lung,NFE2L2::ZC3H13
C0149782,Squamous cell carcinoma of lung,TNIK::SPATA16
C0149782,Squamous cell carcinoma of lung,ALG1::SEC14L5
C0149782,Squamous cell carcinoma of lung,DENND1B::RGL1
C0149782,Squamous cell carcinoma of lung,SYPL1::TMEM168
C0149782,Squamous cell carcinoma of lung,MYT1::TCEA2
C0149782,Squamous cell carcinoma of lung,TULP4::ESR1
C0149782,Squamous cell carcinoma of lung,ATP11B::POU3F1
C0149782,Squamous cell carcinoma of lung,EEF1AKMT3::RASSF3
C0149782,Squamous cell carcinoma of lung,HTT::GRK4
C0149782,Squamous cell carcinoma of lung,DPY19L1::CDKAL1
C0149782,Squamous cell carcinoma of lung,PATJ::PRSS50
C0149782,Squamous cell carcinoma of lung,GALNT7::SAP30
C0149782,Squamous cell carcinoma of lung,OPA1::PPP2R3A
C0149782,Squamous cell carcinoma of lung,USP48::SELENON
C0149782,Squamous cell carcinoma of lung,KANSL1::PARD3B
C0149782,Squamous cell carcinoma of lung,SCYL3::KIFAP3
C0149782,Squamous cell carcinoma of lung,SLC1A3::MAPKAP1
C0149782,Squamous cell carcinoma of lung,ATG5::NTM
C0149782,Squamous cell carcinoma of lung,GNA13::CEP112
C0149782,Squamous cell carcinoma of lung,CWF19L2::JAML
C0149782,Squamous cell carcinoma of lung,CCDC97::SIPA1L3
C0149782,Squamous cell carcinoma of lung,IGF2BP3::PRKCA
C0149782,Squamous cell carcinoma of lung,CAPN15::NSD3
C0149782,Squamous cell carcinoma of lung,ERP29::NHSL1
C0149782,Squamous cell carcinoma of lung,FGFR2::CCAR2
C0149782,Squamous cell carcinoma of lung,RAD51B::MARK3
C0149782,Squamous cell carcinoma of lung,ZNF335::NCOA5
C0149782,Squamous cell carcinoma of lung,TENM4::NOX4
C0149782,Squamous cell carcinoma of lung,CCDC61::PPP5C
C0149782,Squamous cell carcinoma of lung,MAP3K10::C19ORF47
C0149782,Squamous cell carcinoma of lung,TBC1D9B::RNF130
C0149782,Squamous cell carcinoma of lung,METTL4::STXBP5L
C0149782,Squamous cell carcinoma of lung,ALDH3A1::MYH9
C0149782,Squamous cell carcinoma of lung,BTBD3::MACF1
C0149782,Squamous cell carcinoma of lung,CSNK1D::SCPEP1
C0149782,Squamous cell carcinoma of lung,SLCO2A1::GUCA1C
C0149782,Squamous cell carcinoma of lung,YWHAE::MYH3
C0149782,Squamous cell carcinoma of lung,ACVR2A::CASP8
C0149782,Squamous cell carcinoma of lung,EGR1::FAR1
C0149782,Squamous cell carcinoma of lung,ZBTB40::TCEA3
C0149782,Squamous cell carcinoma of lung,B4GALT4::ACSL5
C0149782,Squamous cell carcinoma of lung,HNRNPA2B1::SKAP2
C0149782,Squamous cell carcinoma of lung,MAP3K5::NKAIN2
C0149782,Squamous cell carcinoma of lung,TFG::TMEM45A
C0149782,Squamous cell carcinoma of lung,TMUB1::AGAP3
C0149782,Squamous cell carcinoma of lung,LARP4B::SMCO3
C0149782,Squamous cell carcinoma of lung,CTNNB1::TCOF1
C0149782,Squamous cell carcinoma of lung,FYTTD1::RPL35A
C0149782,Squamous cell carcinoma of lung,RABEP1::PIGL
C0149782,Squamous cell carcinoma of lung,TRIM65::SRP68
C0149782,Squamous cell carcinoma of lung,ADGRL3::BBS9
C0149782,Squamous cell carcinoma of lung,ADAM23::CERKL
C0149782,Squamous cell carcinoma of lung,LETM2::ERCC2
C0149782,Squamous cell carcinoma of lung,KLHL22::ZNF74
C0149782,Squamous cell carcinoma of lung,NUP35::NCKAP1
C0149782,Squamous cell carcinoma of lung,RAB2A::PLEKHA6
C0149782,Squamous cell carcinoma of lung,NEK7::ATP2B4
C0149782,Squamous cell carcinoma of lung,MED12L::GOLIM4
C0149782,Squamous cell carcinoma of lung,ASXL2::MINPP1
C0149782,Squamous cell carcinoma of lung,CEP192::AFG3L2
C0149782,Squamous cell carcinoma of lung,TPCN2::MRPL21
C0149782,Squamous cell carcinoma of lung,CLCN4::TFAP2A
C0149782,Squamous cell carcinoma of lung,SLC25A16::NDUFA9
C0149782,Squamous cell carcinoma of lung,SNX8::KDELR2
C0149782,Squamous cell carcinoma of lung,FOXG1::NPAS3
C0149782,Squamous cell carcinoma of lung,MRPL21::FAM168A
C0149782,Squamous cell carcinoma of lung,TRABD2A::CHMP3
C0149782,Squamous cell carcinoma of lung,AHNAK2::CD244
C0149782,Squamous cell carcinoma of lung,FNBP1L::EFCAB8
C0149782,Squamous cell carcinoma of lung,MBD4::TMCC1
C0149782,Squamous cell carcinoma of lung,TFRC::NSUN4
C0149782,Squamous cell carcinoma of lung,CTNNA3::IGF2
C0149782,Squamous cell carcinoma of lung,VOPP1::GRB10
C0149782,Squamous cell carcinoma of lung,B3GNT5::CAMK2N2
C0149782,Squamous cell carcinoma of lung,RAB11FIP3::RGS11
C0149782,Squamous cell carcinoma of lung,CUX1::EHBP1L1
C0149782,Squamous cell carcinoma of lung,PELP1::CHRNE
C0149782,Squamous cell carcinoma of lung,KLHL24::MCF2L2
C0149782,Squamous cell carcinoma of lung,CSMD3::ANGPT1
C0149782,Squamous cell carcinoma of lung,WNT5B::NINJ2
C0149782,Squamous cell carcinoma of lung,PACS1::CHKA
C0149782,Squamous cell carcinoma of lung,DRG1::MYO18B
C0149782,Squamous cell carcinoma of lung,CDKN2A::SRGAP2
C0149782,Squamous cell carcinoma of lung,TMEM25::CD3G
C0149782,Squamous cell carcinoma of lung,GOLIM4::RNF175
C0149782,Squamous cell carcinoma of lung,VTI1A::TCF7L2
C0149782,Squamous cell carcinoma of lung,PITPNB::TANGO2
C0149782,Squamous cell carcinoma of lung,ADNP::PCIF1
C0149782,Squamous cell carcinoma of lung,PKP4::TANC1
C0149782,Squamous cell carcinoma of lung,GART::TMEM50B
C0149782,Squamous cell carcinoma of lung,GPC1::ANKFN1
C0149782,Squamous cell carcinoma of lung,NSD3::TACC1
C0149782,Squamous cell carcinoma of lung,UNK::DPYD
C0149782,Squamous cell carcinoma of lung,PEX1::AKAP9
C0149782,Squamous cell carcinoma of lung,EPG5::ST8SIA5
C0149782,Squamous cell carcinoma of lung,ZHX2::LELP1
C0149782,Squamous cell carcinoma of lung,GPR146::DTNBP1
C0149782,Squamous cell carcinoma of lung,ECE2::HTR3C
C0149782,Squamous cell carcinoma of lung,NCAPH::KCNIP3
C0149782,Squamous cell carcinoma of lung,PPP2R5E::PLEKHH1
