PathwayDiseaseAssociation,PathwayId,PathwayName,DiseaseCui,DiseaseName,GeneProductId,GeneProductName
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PRKCB,PRKCB
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,PRKCG,PRKCG
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PTEN,PTEN
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PTGS2,PTGS2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,PTK2,PTK2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RAF1,RAF1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RARB,RARB
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RARB,RARB
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RASSF1,RASSF1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RASSF5,RASSF5
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RB1,RB1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RB1,RB1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RELA,RELA
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RXRA,RXRA
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RXRA,RXRA
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RXRB,RXRB
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RXRB,RXRB
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,RXRG,RXRG
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,RXRG,RXRG
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,SKP1,SKP1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,SOS1,SOS1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,SOS2,SOS2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,STAT3,STAT3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,STAT5A,STAT5A
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,STAT5B,STAT5B
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,STK4,STK4
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,TGFA,TGFA
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,TP53,TP53
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TP53,TP53
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF1,TRAF1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF2,TRAF2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF3,TRAF3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF4,TRAF4
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF5,TRAF5
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,TRAF6,TRAF6
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,ZBTB17,ZBTB17
