DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,t(1;1)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q31;q31),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;7)(q21;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;3)(p35;q28),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(p14;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;22)(p12;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;17)(q35;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(q22;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;19)(p32;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q22;q25),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;7)(p21;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(p15;p14),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q36;q37),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(q25;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;8)(q29;p12),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q16;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;10)(p11;q26),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(q21;p21),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;9)(p12;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p31;p31),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(q34;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;2)(q33;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(q11;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(16;16)(q12;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p11;p11),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;22)(q14;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(X;5)(q22;q14),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p13;q24),Translocations
C0149782,Squamous cell carcinoma of lung,t(8;12)(p11;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(9;9)(p22;p22),Translocations
C0149782,Squamous cell carcinoma of lung,t(12;12)(q15;q15),Translocations
C0149782,Squamous cell carcinoma of lung,t(10;20)(q23;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;18)(q13;q12),Translocations
C0149782,Squamous cell carcinoma of lung,t(6;6)(p25;p25),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p34;p34),Translocations
C0149782,Squamous cell carcinoma of lung,t(4;4)(p14;p14),Translocations
