Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Finland,2.4,,30-44,Male,C0242379,Malignant neoplasm of lung,2022,FI,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_FI_30-44_male_undefined
France,5.8,2.5,30-44,Male,C0242379,Malignant neoplasm of lung,2022,FR,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_FR_30-44_male_undefined
Germany,0.3,0.3,30-44,Male,C0242379,Malignant neoplasm of lung,2022,DE,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_DE_30-44_male_undefined
Ireland,1.0,0.5,30-44,Male,C0242379,Malignant neoplasm of lung,2022,IE,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_IE_30-44_male_undefined
Italy,2.3,0.6,30-44,Male,C0242379,Malignant neoplasm of lung,2022,IT,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_IT_30-44_male_undefined
Latvia,4.6,1.1,30-44,Male,C0242379,Malignant neoplasm of lung,2022,LV,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_LV_30-44_male_undefined
Lithuania,4.7,1.5,30-44,Male,C0242379,Malignant neoplasm of lung,2022,LT,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_LT_30-44_male_undefined
Luxembourg,1.4,1.4,30-44,Male,C0242379,Malignant neoplasm of lung,2022,LU,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_LU_30-44_male_undefined
Netherlands,3.3,1.1,30-44,Male,C0242379,Malignant neoplasm of lung,2022,NL,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_NL_30-44_male_undefined
Portugal,3.1,1.1,30-44,Male,C0242379,Malignant neoplasm of lung,2022,PT,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_PT_30-44_male_undefined
Romania,6.8,2.7,30-44,Male,C0242379,Malignant neoplasm of lung,2022,RO,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_RO_30-44_male_undefined
Slovenia,4.1,0.8,30-44,Male,C0242379,Malignant neoplasm of lung,2022,SI,30-44 years,undefined,people_30-44_male_undefined,vstat_C0242379_SI_30-44_male_undefined
