REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
US41,Oregon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,7.4173169,Annual
US42,Pennsylvania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,11.62028,Annual
US44,Rhode Island,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,8.4729519,Annual
US45,South Carolina,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,10.66489,Annual
US46,South Dakota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,6.7084446,Annual
US47,Tennessee,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,10.315382,Annual
US48,Texas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,10.164582,Annual
US49,Utah,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,8.3701315,Annual
US50,Vermont,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,6.6818504,Annual
US51,Virginia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,9.9257345,Annual
US53,Washington,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,7.5704694,Annual
US54,West Virginia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,10.031194,Annual
US55,Wisconsin,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,9.9727097,Annual
US56,Wyoming,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2008,4.8137341,Annual
AT11,Burgenland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.973804,Annual
AT12,Lower Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.637598,Annual
AT13,Vienna,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.888458,Annual
AT21,Carinthia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.527171,Annual
AT22,Styria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.740147,Annual
AT31,Upper Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.904624,Annual
AT32,Salzburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.211801,Annual
AT33,Tyrol,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.798588,Annual
AT34,Vorarlberg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.041123,Annual
AU1,New South Wales,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.5800343,Annual
AU2,Victoria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.6312733,Annual
AU3,Queensland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.7184963,Annual
AU4,South Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.3948898,Annual
AU5,Western Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.434226,Annual
AU6,Tasmania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.8095036,Annual
AU7,Northern Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.311018,Annual
AU8,Australian Capital Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.6479912,Annual
BE1,Brussels-Capital Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.234262,Annual
BE2,Flemish Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.09638,Annual
BE3,Walloon Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.169243,Annual
BG31,North West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,24.189772,Annual
BG32,North Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,22.631203,Annual
BG33,North East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.369867,Annual
BG34,South East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.757519,Annual
BG41,South West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,24.801636,Annual
BG42,South Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,25.423349,Annual
CA10,Newfoundland and Labrador,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,4.8196945,Annual
CA11,Prince Edward Island,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,4.7150311,Annual
CA12,Nova Scotia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.7009106,Annual
CA13,New Brunswick,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.6181207,Annual
CA24,Quebec,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.3010254,Annual
CA35,Ontario,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.714612,Annual
CA46,Manitoba,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.4886789,Annual
CA47,Saskatchewan,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.9551969,Annual
CA48,Alberta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.0324836,Annual
CA59,British Columbia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.6059952,Annual
CA60,Yukon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.310771,Annual
CA61,Northwest Territories,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.8409724,Annual
CA62,Nunavut,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,3.3047249,Annual
CH01,Lake Geneva Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.160636,Annual
CH02,Espace Mittelland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.86224,Annual
CH03,Northwestern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.929982,Annual
CH04,Zurich,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.78696,Annual
CH05,Eastern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.656997,Annual
CH06,Central Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.324488,Annual
CH07,Ticino,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.033289,Annual
CL01,Tarapacá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.138372,Annual
CL02,Antofagasta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.848311,Annual
CL03,Atacama,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.315959,Annual
CL04,Coquimbo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.381929,Annual
CL05,Valparaíso,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.732416,Annual
CL06,O'Higgins,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,24.157356,Annual
CL07,Maule,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,23.888683,Annual
CL08,Biobío,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,20.600395,Annual
CL09,Araucanía,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,28.555834,Annual
CL10,Los Lagos,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,26.902754,Annual
CL11,Aysén,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,37.021088,Annual
CL12,Magallanes and Chilean Antarctica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.0816178,Annual
CL13,Santiago Metropolitan Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,27.39016,Annual
CL14,Los Ríos,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,29.139227,Annual
CL15,Arica y Parinacota,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.524811,Annual
CL16,Ñuble,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,23.531206,Annual
CO05,Antioquia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,22.220942,Annual
CO08,Atlántico,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.253565,Annual
CO11,Bogotá Capital District,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.824041,Annual
CO13,Bolívar,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.34383,Annual
CO15,Boyacá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.870846,Annual
CO17,Caldas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,20.879377,Annual
CO18,Caquetá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.235718,Annual
CO19,Cauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.330334,Annual
CO20,Cesar,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.113081,Annual
CO23,Córdoba,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.742229,Annual
CO25,Cundinamarca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.174881,Annual
CO27,Chocó,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.110819,Annual
CO41,Huila,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.782389,Annual
CO44,La Guajira,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.310622,Annual
CO47,Magdalena,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.683282,Annual
CO50,Meta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.719479,Annual
CO52,Nariño,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.855778,Annual
CO54,Norte de Santander,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.673004,Annual
CO63,Quindío,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.45109,Annual
CO66,Risaralda,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.537249,Annual
CO68,Santander,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.154028,Annual
CO70,Sucre,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.341101,Annual
CO73,Tolima,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.759834,Annual
CO76,Valle del Cauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.622731,Annual
CO81,Arauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.792555,Annual
CO85,Casanare,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.762705,Annual
CO86,Putumayo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.653985,Annual
CO88,San Andrés,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.24104,Annual
CO91,Amazonas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.945569,Annual
CO94,Guainía,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.358685,Annual
CO95,Guaviare,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.837665,Annual
CO97,Vaupés,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.121252,Annual
CO99,Vichada,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.132479,Annual
CR01,Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.596191,Annual
CR02,Chorotega,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.743858,Annual
CR03,Central Pacific,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.119675,Annual
CR04,Brunca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.997875,Annual
CR05,Huetar Caribbean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.790071,Annual
CR06,North Huetar,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.137888,Annual
CZ01,Prague,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.532528,Annual
CZ02,Central Bohemian Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.008993,Annual
CZ03,Southwest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.693347,Annual
CZ04,Northwest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.122793,Annual
CZ05,Northeast,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.510796,Annual
CZ06,Southeast,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.909334,Annual
CZ07,Central Moravia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,22.355669,Annual
CZ08,Moravia-Silesia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,28.265322,Annual
DE1,Baden-Württemberg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.958897,Annual
DE2,Bavaria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.032924,Annual
DE3,Berlin,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.140638,Annual
DE4,Brandenburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.986722,Annual
DE5,Bremen,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.108526,Annual
DE6,Hamburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.068947,Annual
DE7,Hesse,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.544359,Annual
DE8,Mecklenburg-Vorpommern,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.542888,Annual
DE9,Lower Saxony,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.037996,Annual
DEA,North Rhine-Westphalia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.402384,Annual
DEB,Rhineland-Palatinate,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.12369,Annual
DEC,Saarland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.264585,Annual
DED,Saxony,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.68334,Annual
DEE,Saxony-Anhalt,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.271435,Annual
DEF,Schleswig-Holstein,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.301299,Annual
DEG,Thuringia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.528407,Annual
DK01,Capital region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.019808,Annual
DK02,Zealand,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.583079,Annual
DK03,Southern Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.672956,Annual
DK04,Central Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.980832,Annual
DK05,Northern Denmark,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,10.8889,Annual
EE00,Estonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.1163454,Annual
EL30,Attica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,22.36985,Annual
EL41,North Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.255323,Annual
EL42,South Aegean,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.018917,Annual
EL43,Crete,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,21.030373,Annual
EL51,"Eastern Macedonia, Thrace",Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.270878,Annual
EL52,Central Macedonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,20.786457,Annual
EL53,Western Macedonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,24.279015,Annual
EL54,Epirus,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,20.380054,Annual
EL61,Thessaly,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,20.257339,Annual
EL62,Ionian Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.632149,Annual
EL63,Western Greece,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.376728,Annual
EL64,Central Greece,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.199562,Annual
EL65,Peloponnese,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.450666,Annual
ES11,Galicia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,10.553122,Annual
ES12,Asturias,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.242911,Annual
ES13,Cantabria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.441991,Annual
ES21,Basque Country,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.240226,Annual
ES22,Navarra,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.06256,Annual
ES23,La Rioja,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.572463,Annual
ES24,Aragon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.327517,Annual
ES30,Madrid,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.837813,Annual
ES41,Castile and León,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.262709,Annual
ES42,Castile-La Mancha,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.555449,Annual
ES43,Extremadura,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,9.1074409,Annual
ES51,Catalonia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.285719,Annual
ES52,Valencian Community,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.536088,Annual
ES53,Balearic Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,9.3827696,Annual
ES61,Andalusia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.049014,Annual
ES62,Murcia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.122561,Annual
ES63,Ceuta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.523502,Annual
ES64,Melilla,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.745386,Annual
ES70,Canary Islands,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.3893528,Annual
FI19,Western Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.6896214,Annual
FI1B,Helsinki-Uusimaa,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.9774776,Annual
FI1C,Southern Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.1971693,Annual
FI1D,Northern and Eastern Finland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.7621546,Annual
FI20,Åland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.0684433,Annual
FR1,Île-de-France,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.107344,Annual
FRB,Centre-Val de Loire,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.643291,Annual
FRC,Bourgogne-Franche-Comté,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.445216,Annual
FRD,Normandy,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.229082,Annual
FRE,Hauts-de-France,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.356544,Annual
FRF,Grand Est,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.511688,Annual
FRG,Pays de la Loire,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.657545,Annual
FRH,Brittany,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,10.967575,Annual
FRI,Nouvelle-Aquitaine,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.209772,Annual
FRJ,Occitanie,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.873577,Annual
FRK,Auvergne-Rhône-Alpes,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,14.094298,Annual
FRL,Provence-Alpes-Côte d’Azur,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.424339,Annual
FRM,Corsica,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.193275,Annual
FRY1,Guadeloupe,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.9535499,Annual
FRY2,Martinique,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.4126692,Annual
FRY3,French Guiana,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,13.614028,Annual
FRY4,La Réunion,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,5.3937407,Annual
FRY5,Mayotte,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.3861871,Annual
HR02,Pannonian Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,27.085928,Annual
HR03,Adriatic Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,12.854616,Annual
HR06,Northern Croatia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,21.56818,Annual
HU11,Budapest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,21.115559,Annual
HU12,Pest,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.458933,Annual
HU21,Central Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,16.936535,Annual
HU22,Western Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.710556,Annual
HU23,Southern Transdanubia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,19.835903,Annual
HU31,Northern Hungary,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,21.383425,Annual
HU32,Northern Great Plain,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.014441,Annual
HU33,Southern Great Plain,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,18.27541,Annual
IE04,Northern and Western,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,8.6987677,Annual
IE05,Southern,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,11.089071,Annual
IE06,Eastern and Midland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,10.721039,Annual
IS01,Capital Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,7.7504387,Annual
IS02,Other Regions,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,6.6714873,Annual
ITC1,Piedmont,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,25.806366,Annual
ITC2,Aosta Valley,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.186602,Annual
ITC3,Liguria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,15.452491,Annual
ITC4,Lombardy,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,28.68854,Annual
ITF1,Abruzzo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,2009,17.640421,Annual
