REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
CO54,Norte de Santander,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,25.282509,Annual
CO63,Quindío,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.255789,Annual
CO66,Risaralda,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,29.707228,Annual
CO68,Santander,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,26.188292,Annual
CO70,Sucre,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,24.644747,Annual
CO73,Tolima,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.238497,Annual
CO76,Valle del Cauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.525307,Annual
CO81,Arauca,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.479517,Annual
CO85,Casanare,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.993721,Annual
CO86,Putumayo,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.559717,Annual
CO88,San Andrés,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,15.477261,Annual
CO91,Amazonas,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.819389,Annual
CO94,Guainía,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.641598,Annual
CO95,Guaviare,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.105865,Annual
CO97,Vaupés,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.290943,Annual
CO99,Vichada,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.481117,Annual
CR01,Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.931236,Annual
