DiseaseCui,DiseaseName,Incidence,MortalityRate,DemographicGroup
C0242379,Malignant neoplasm of lung,16.5,11.399999618530273438,FI_45-59_female_undefined
C0242379,Malignant neoplasm of lung,27.100000381469726562,23.200000762939453125,FI_45-59_male_undefined
C0242379,Malignant neoplasm of lung,98.3000030517578125,65.09999847412109375,FI_60-74_female_undefined
C0242379,Malignant neoplasm of lung,170.6999969482421875,130.600006103515625,FI_60-74_male_undefined
C0242379,Malignant neoplasm of lung,171.0,123.5,FI_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,339.399993896484375,276.899993896484375,FI_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,5.3000001907348632812,2.0,FR_30-44_female_undefined
C0242379,Malignant neoplasm of lung,5.8000001907348632812,2.5,FR_30-44_male_undefined
C0242379,Malignant neoplasm of lung,65.3000030517578125,34.299999237060546875,FR_45-59_female_undefined
C0242379,Malignant neoplasm of lung,98.90000152587890625,68.0,FR_45-59_male_undefined
C0242379,Malignant neoplasm of lung,130.600006103515625,79.90000152587890625,FR_60-74_female_undefined
C0242379,Malignant neoplasm of lung,292.100006103515625,205.399993896484375,FR_60-74_male_undefined
C0242379,Malignant neoplasm of lung,101.1999969482421875,111.59999847412109375,FR_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,372.600006103515625,335.899993896484375,FR_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,0.40000000596046447754,0.30000001192092895508,GR_30-44_female_undefined
C0242379,Malignant neoplasm of lung,31.399999618530273438,20.700000762939453125,GR_45-59_female_undefined
C0242379,Malignant neoplasm of lung,71.40000152587890625,51.09999847412109375,GR_45-59_male_undefined
C0242379,Malignant neoplasm of lung,98.3000030517578125,72.40000152587890625,GR_60-74_female_undefined
C0242379,Malignant neoplasm of lung,335.0,268.70001220703125,GR_60-74_male_undefined
C0242379,Malignant neoplasm of lung,126.09999847412109375,109.90000152587890625,GR_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,519.79998779296875,492.399993896484375,GR_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,2.0999999046325683594,0.30000001192092895508,HR_30-44_female_undefined
C0242379,Malignant neoplasm of lung,42.40000152587890625,37.200000762939453125,HR_45-59_female_undefined
C0242379,Malignant neoplasm of lung,81.6999969482421875,85.6999969482421875,HR_45-59_male_undefined
C0242379,Malignant neoplasm of lung,144.3000030517578125,101.09999847412109375,HR_60-74_female_undefined
C0242379,Malignant neoplasm of lung,402.29998779296875,297.600006103515625,HR_60-74_male_undefined
C0242379,Malignant neoplasm of lung,153.399993896484375,128.8000030517578125,HR_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,518.0,491.5,HR_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,80.8000030517578125,62.799999237060546875,HU_45-59_female_undefined
C0242379,Malignant neoplasm of lung,130.399993896484375,103.59999847412109375,HU_45-59_male_undefined
C0242379,Malignant neoplasm of lung,218.5,183.3000030517578125,HU_60-74_female_undefined
C0242379,Malignant neoplasm of lung,417.399993896484375,357.600006103515625,HU_60-74_male_undefined
C0242379,Malignant neoplasm of lung,219.0,201.600006103515625,HU_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,476.0,441.600006103515625,HU_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,1.0,0.5,IE_30-44_male_undefined
C0242379,Malignant neoplasm of lung,41.09999847412109375,18.299999237060546875,IE_45-59_female_undefined
C0242379,Malignant neoplasm of lung,39.09999847412109375,24.899999618530273438,IE_45-59_male_undefined
C0242379,Malignant neoplasm of lung,205.899993896484375,117.1999969482421875,IE_60-74_female_undefined
