ChemicalId,ChemicalName,CityId,CountryName,CityName,Value,Units,Population
C5890534,Particulate matter (PM2.5),DE_karls_2126,Germany,Karlsruhe,8.1,Microgramos por metro cúbico (µg/m³),312060
C5890534,Particulate matter (PM2.5),IT_perug_b5d7,Italy,Perugia,11.5,Microgramos por metro cúbico (µg/m³),164880
C5890534,Particulate matter (PM2.5),AT_linz_907e,Austria,Linz,10.5,Microgramos por metro cúbico (µg/m³),193814
C5890534,Particulate matter (PM2.5),PL_gliwi_8b72,Poland,Gliwice,19.8,Microgramos por metro cúbico (µg/m³),179806
C5890534,Particulate matter (PM2.5),SE_gtebo_0e9b,Sweden,Göteborg,6.1,Microgramos por metro cúbico (µg/m³),564039
C5890534,Particulate matter (PM2.5),DE_frank_8cab,Germany,Frankfurt am Main,8.4,Microgramos por metro cúbico (µg/m³),763380
C5890534,Particulate matter (PM2.5),FR_laroc_3a6c,France,La Rochelle,8.4,Microgramos por metro cúbico (µg/m³),82783
C5890534,Particulate matter (PM2.5),IT_gela_dc77,Italy,Gela,13.1,Microgramos por metro cúbico (µg/m³),72187
C5890534,Particulate matter (PM2.5),EE_narva_d175,Estonia,Narva,4.6,Microgramos por metro cúbico (µg/m³),53424
C5890534,Particulate matter (PM2.5),ES_zarag_7b8e,Spain,Zaragoza,10.5,Microgramos por metro cúbico (µg/m³),681877
C5890534,Particulate matter (PM2.5),ES_sanfe_104b,Spain,San Fernando,7.7,Microgramos por metro cúbico (µg/m³),95001
C5890534,Particulate matter (PM2.5),SK_bansk_7bc2,Slovakia,Banská Bystrica,11.4,Microgramos por metro cúbico (µg/m³),78084
C5890534,Particulate matter (PM2.5),SK_bansk_7bc2,Slovak Republic,Banská Bystrica,11.4,Microgramos por metro cúbico (µg/m³),78084
C5890534,Particulate matter (PM2.5),ES_toled_5bda,Spain,Toledo,8.3,Microgramos por metro cúbico (µg/m³),85811
C5890534,Particulate matter (PM2.5),ES_gijn_4055,Spain,Gijón,10.2,Microgramos por metro cúbico (µg/m³),271717
C5890534,Particulate matter (PM2.5),ES_alica_010d,Spain,Alicante/Alacant,13.7,Microgramos por metro cúbico (µg/m³),337482
C5890534,Particulate matter (PM2.5),IT_messi_4080,Italy,Messina,11.2,Microgramos por metro cúbico (µg/m³),227424
C5890534,Particulate matter (PM2.5),PL_walbr_0bb8,Poland,Walbrzych,17.4,Microgramos por metro cúbico (µg/m³),112594
C5890534,Particulate matter (PM2.5),PL_elbla_5b27,Poland,Elblag,11.9,Microgramos por metro cúbico (µg/m³),120142
C5890534,Particulate matter (PM2.5),FR_avign_a76b,France,Avignon,11.7,Microgramos por metro cúbico (µg/m³),109451
C5890534,Particulate matter (PM2.5),DE_konst_2832,Germany,Konstanz,8.2,Microgramos por metro cúbico (µg/m³),84911
C5890534,Particulate matter (PM2.5),SK_zilin_162f,Slovakia,Zilina,16.1,Microgramos por metro cúbico (µg/m³),80727
C5890534,Particulate matter (PM2.5),SK_zilin_162f,Slovak Republic,Zilina,16.1,Microgramos por metro cúbico (µg/m³),80727
C5890534,Particulate matter (PM2.5),DE_ascha_73e9,Germany,Aschaffenburg,8.6,Microgramos por metro cúbico (µg/m³),71002
C5890534,Particulate matter (PM2.5),IT_piace_b3a7,Italy,Piacenza,22.2,Microgramos por metro cúbico (µg/m³),104260
C5890534,Particulate matter (PM2.5),FR_toulo_43b3,France,Toulouse,9.1,Microgramos por metro cúbico (µg/m³),613199
C5890534,Particulate matter (PM2.5),IT_reggi_9754,Italy,Reggio nell'Emilia,18.1,Microgramos por metro cúbico (µg/m³),171084
C5890534,Particulate matter (PM2.5),FR_renne_fb84,France,Rennes,10.5,Microgramos por metro cúbico (µg/m³),216815
C5890534,Particulate matter (PM2.5),CZ_liber_b755,Czechia,Liberec,11.5,Microgramos por metro cúbico (µg/m³),104802
C5890534,Particulate matter (PM2.5),IT_bolog_b782,Italy,Bologna,14.2,Microgramos por metro cúbico (µg/m³),395416
C5890534,Particulate matter (PM2.5),IT_campo_7ff8,Italy,Campobasso,11.4,Microgramos por metro cúbico (µg/m³),48337
C5890534,Particulate matter (PM2.5),PL_suwal_da1e,Poland,Suwalki,10.2,Microgramos por metro cúbico (µg/m³),69827
C5890534,Particulate matter (PM2.5),ES_sevil_ba5f,Spain,Sevilla,11.9,Microgramos por metro cúbico (µg/m³),884899
C5890534,Particulate matter (PM2.5),ES_grana_9d3a,Spain,Granada,10.7,Microgramos por metro cúbico (µg/m³),404809
C5890534,Particulate matter (PM2.5),BG_plovd_b611,Bulgaria,Plovdiv,17,Microgramos por metro cúbico (µg/m³),347851
C5890534,Particulate matter (PM2.5),IS_reykj_6f3e,Iceland,Reykjavik,3.9,Microgramos por metro cúbico (µg/m³),132252
C5890534,Particulate matter (PM2.5),IT_parma_68f7,Italy,Parma,15.8,Microgramos por metro cúbico (µg/m³),200455
C5890534,Particulate matter (PM2.5),DE_cottb_a4b8,Germany,Cottbus,10.1,Microgramos por metro cúbico (µg/m³),99678
C5890534,Particulate matter (PM2.5),FR_saint_4dfd,France,Saint-Brieuc,6.9,Microgramos por metro cúbico (µg/m³),64350
C5890534,Particulate matter (PM2.5),IT_livor_1cfc,Italy,Livorno,7.8,Microgramos por metro cúbico (µg/m³),157017
C5890534,Particulate matter (PM2.5),AT_graz_6e00,Austria,Graz,13.8,Microgramos por metro cúbico (µg/m³),269997
