gene_label,appears_in_seeds,seeds,n_predictions,mean_rank,best_rank,mean_confidence,std_confidence,diseases
TYMS,1,456,1,43.0,43,0.9458,0.0,Giant cell carcinoma of lung
PINX1,1,456,1,45.0,45,0.9452,0.0,Lung Neoplasms
AKT1S1,1,42,1,47.0,47,0.9451,0.0,Pulmonary Sclerosing Hemangioma
VEGFA,1,1337,1,32.0,32,0.9446,0.0,Squamous non-small cell lung cancer
SPRY2,1,789,1,46.0,46,0.9428,0.0,Lung Neoplasms
PARP1,1,123,1,50.0,50,0.9424,0.0,Pseudosarcomatous carcinoma of lung
GDF15,1,789,1,49.0,49,0.9417,0.0,Bronchioloalveolar Adenocarcinoma
DLL4,1,42,1,49.0,49,0.9416,0.0,Lymphoepithelial carcinoma
RABGEF1,1,42,1,50.0,50,0.9414,0.0,Small cell lung cancer limited stage
KDM6B,1,1337,1,44.0,44,0.9252,0.0,Hamartoma of lung
RRM2B,1,1337,1,48.0,48,0.9182,0.0,Hamartoma of lung
RASSF1,1,1337,1,49.0,49,0.9173,0.0,Lymphoepithelial carcinoma
LGALS4,1,1337,1,50.0,50,0.9159,0.0,Small cell lung cancer recurrent
