pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,18.9958,8719,ug.m-3,hour,2013
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,15.9309,8751,ug.m-3,hour,2014
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,19.1903,8751,ug.m-3,hour,2015
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,15.5465,8775,ug.m-3,hour,2016
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,16.0695,8715,ug.m-3,hour,2017
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,16.0574,8740,ug.m-3,hour,2018
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,12.8340,8753,ug.m-3,hour,2019
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,11.5722,8631,ug.m-3,hour,2020
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,12.8715,8697,ug.m-3,hour,2021
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,13.4788,8578,ug.m-3,hour,2022
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,12.1830,8612,ug.m-3,hour,2023
PM2.5,AT,SPO.02.WO15.64586.6001.1,Wolfsberg Hauptschule,9400 Wolfsberg,46.83498,14.84346,suburban,10.6795,8699,ug.m-3,hour,2024
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,18.8361,6723,ug.m-3,hour,2013
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,16.2430,8198,ug.m-3,hour,2014
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,14.5687,7821,ug.m-3,hour,2015
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,13.4083,8082,ug.m-3,hour,2016
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,12.8488,8578,ug.m-3,hour,2017
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,13.7876,8607,ug.m-3,hour,2018
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,10.6629,7251,ug.m-3,hour,2019
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,9.7537,8599,ug.m-3,hour,2020
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,12.2593,8661,ug.m-3,hour,2021
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,12.4738,8516,ug.m-3,hour,2022
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,12.1082,7963,ug.m-3,hour,2023
PM2.5,AT,SPO.01.0001.65188.6001.1,Eisenstadt Laschoberstraße,7000 Eisenstadt,47.84011,16.52617,suburban,11.7316,7887,ug.m-3,hour,2024
PM2.5,AT,SPO.04.S409.68311.6001.1,Steyr Münichholz,4400 Steyr,48.04925,14.44236,suburban,8.9390,344,ug.m-3,day,2022
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,17.5961,8693,ug.m-3,hour,2013
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,12.9456,8481,ug.m-3,hour,2014
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,14.7895,8574,ug.m-3,hour,2015
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,10.6491,8658,ug.m-3,hour,2016
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,13.8445,8652,ug.m-3,hour,2017
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,15.1581,8701,ug.m-3,hour,2018
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,12.3204,8501,ug.m-3,hour,2019
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,9.1334,8758,ug.m-3,hour,2020
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,10.4765,8713,ug.m-3,hour,2021
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,9.7117,8747,ug.m-3,hour,2022
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,8.6484,8749,ug.m-3,hour,2023
PM2.5,AT,SPO.03.0407.65866.6001.1,Groß-Enzersdorf - Glinzendorf,2301 Groß-Enzersdorf,48.2307,16.6363,rural,10.0714,8483,ug.m-3,hour,2024
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,18.3146,8756,ug.m-3,hour,2013
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,17.2692,8755,ug.m-3,hour,2014
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,20.4976,4825,ug.m-3,hour,2015
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,117.0105,1,ug.m-3,hour,2016
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,14.8653,8754,ug.m-3,hour,2017
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,16.6146,8756,ug.m-3,hour,2018
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,13.5031,8752,ug.m-3,hour,2019
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,11.2543,8780,ug.m-3,hour,2020
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,11.9301,7699,ug.m-3,hour,2021
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,11.8361,8697,ug.m-3,hour,2022
PM2.5,AT,SPO.09.TAB.56213.6001.1,Taborstraße,1020 Wien,48.21674,16.38092,urban,10.1144,8779,ug.m-3,hour,2024
