rank,gene_label,gene_uri,disease_label,disease_uri,confidence
36,BCL2L11,lucia:gene/ncbigene:10018,Combined Lung Small Cell Carcinoma,lucia:disease/C1333125,0.9601
37,EGFR,lucia:gene/ncbigene:1956,Non-small cell lung cancer recurrent,lucia:disease/C0278517,0.9598
38,HGF,lucia:gene/ncbigene:3082,Metaplasia,lucia:disease/C0025568,0.9586
39,EGFR,lucia:gene/ncbigene:1956,Epidermal growth factor receptor positive non-small cell lung cancer,lucia:disease/C1960925,0.9584
40,PIK3CD,lucia:gene/ncbigene:5293,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,0.9564
41,EGFR,lucia:gene/ncbigene:1956,Metaplasia,lucia:disease/C0025568,0.9559
42,NKX2-1,lucia:gene/ncbigene:7080,Proteus Syndrome,lucia:disease/C0085261,0.9493
43,PIK3CD,lucia:gene/ncbigene:5293,Lymphoepithelial carcinoma,lucia:disease/C0334254,0.9481
44,PPARGC1A,lucia:gene/ncbigene:10891,Lung Neoplasms,lucia:disease/C0024121,0.948
45,EGFR,lucia:gene/ncbigene:1956,large cell neuroendocrine carcinoma of lung,lucia:disease/C1334363,0.9471
46,PTGS2,lucia:gene/ncbigene:5743,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,0.9459
47,AKT1S1,lucia:gene/ncbigene:84335,Pulmonary Sclerosing Hemangioma,lucia:disease/C1334455,0.9451
48,AKT1,lucia:gene/ncbigene:207,Large cell carcinoma of lung,lucia:disease/C0345958,0.9441
49,DLL4,lucia:gene/ncbigene:54567,Lymphoepithelial carcinoma,lucia:disease/C0334254,0.9416
50,RABGEF1,lucia:gene/ncbigene:27342,Small cell lung cancer limited stage,lucia:disease/C0278725,0.9414
