rank,Disease_label,Disease_uri,Disease_label,Disease_uri,confidence,context
38,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Pulmonary lymphangioleiomyomatosis,lucia:disease/C0349649,4.3126,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
39,Pulmonary lymphangioleiomyomatosis,lucia:disease/C0349649,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,4.3126,
40,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Invasive Lung Mucinous Adenocarcinoma,lucia:disease/C4522160,4.2483,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
41,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,mucoepidermoid carcinoma of lung,lucia:disease/C1708778,4.1769,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
42,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,carcinosarcoma of lung,lucia:disease/C1711276,3.9202,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
43,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lung Acinar Adenocarcinoma,lucia:disease/C1332137,3.8668,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
44,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Epidermal growth factor receptor negative non-small cell lung cancer,lucia:disease/C1960396,3.6656,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
45,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Carcinoma in situ of lung,lucia:disease/C0685053,3.6061,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
46,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lung Adenocarcinoma In Situ,lucia:disease/C4521520,3.5421,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
47,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.1335,subtype_of -> Malignant neoplasm of lung
48,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Atypical pulmonary carcinoid tumor,lucia:disease/C4072942,3.0437,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
49,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,2.985,subtype_of -> Malignant neoplasm of lung
50,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,2.985,subtype_of -> Malignant neoplasm of lung
