rank,GeographicRegion_label,GeographicRegion_uri,Country_label,Country_uri,confidence,context
39,Lower Saxony,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_lower_saxony,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,18.7044,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
40,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,18.7042,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
41,Lazio,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_lazio,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.6997,part_of -> Italy; measured_in -> 2000; measured_in -> 2009
42,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,18.6742,part_of -> Switzerland; measured_in -> 2000; measured_in -> 2009
43,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,Finland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FI,18.6645,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
44,Veneto,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_veneto,Germany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/DE,18.6593,part_of -> Italy; measured_in -> 2000; measured_in -> 2009
45,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.6591,part_of -> Switzerland; measured_in -> 2000; measured_in -> 2009
46,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,Spain,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/ES,18.6526,part_of -> Italy; measured_in -> 2000; measured_in -> 2009
47,Piedmont,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_piedmont,Germany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/DE,18.6445,part_of -> Italy; measured_in -> 2000; measured_in -> 2009
48,Basque Country,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_basque_country,Italy,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/IT,18.6277,part_of -> Spain; measured_in -> 2000; measured_in -> 2009
49,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,Germany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/DE,18.6276,part_of -> Switzerland; measured_in -> 2000; measured_in -> 2009
50,Schleswig-Holstein,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_schleswig_holstein,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,18.6234,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
