rank,Disease_label,Disease_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
41,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Insubria-Como,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_insubria_como,9.7466,subtype_of -> Malignant neoplasm of lung
42,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Milan,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_milan,9.6794,subtype_of -> Malignant neoplasm of lung
43,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,England,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_england,9.6616,subtype_of -> Malignant neoplasm of lung
44,Small cell carcinoma of lung,lucia:disease/C0149925,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,9.6398,subtype_of -> Malignant neoplasm of lung
45,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Mantova and Cremona,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_mantova_and_cremona,9.5962,subtype_of -> Malignant neoplasm of lung
46,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Monza-Brianza-Lecco,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_monza_brianza_lecco,9.5847,subtype_of -> Malignant neoplasm of lung
47,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Navarra,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_navarra,9.5502,subtype_of -> Malignant neoplasm of lung
48,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Neuchatel and Jura,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_neuchatel_and_jura,9.5484,subtype_of -> Malignant neoplasm of lung
49,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Gironde,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/FR_gironde,9.5293,subtype_of -> Malignant neoplasm of lung
50,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Asturias,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_asturias,9.4993,subtype_of -> Malignant neoplasm of lung
