rank,Chemical_label,Chemical_uri,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,confidence,context
33,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Szombathely,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/HU_szombathely,6.2089,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
34,"Particulate matter (PM10, Nickel)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Ni,Borgerhout (Antwerpen),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_borgerhout_antwerpen,6.1706,exposure_in -> Ciampino; exposure_in -> Zafra; exposure_in -> Meda
35,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Borgerhout (Antwerpen),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_borgerhout_antwerpen,6.1673,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
36,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Nordenham,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/DE_nordenham,6.1217,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
37,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Seremange-Erzange,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_seremange_erzange,6.1057,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
38,"Particulate matter (PM10, Cadmium)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Cd,Seremange-Erzange,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_seremange_erzange,6.0716,exposure_in -> Port-Jerome-Sur-Seine; exposure_in -> Kutno; exposure_in -> Linden
39,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Gogow,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/PL_gogow,6.0508,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
40,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Koksijde,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_koksijde,6.0427,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
41,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Vergeze,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_vergeze,6.032,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
42,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Bilthoven,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/NL_bilthoven,6.0118,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
43,"Particulate matter (PM10, Nickel)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Ni,Rieme (Evergem),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_rieme_evergem,6.0021,exposure_in -> Ciampino; exposure_in -> Zafra; exposure_in -> Meda
44,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Rieme (Evergem),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/BE_rieme_evergem,5.9959,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
45,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Altomonte,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_altomonte,5.9917,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
46,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Treibach-Althofen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/AT_treibach_althofen,5.9907,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
47,"Particulate matter (PM10, Arsenic)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_As,Seremange-Erzange,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_seremange_erzange,5.9765,exposure_in -> Tiana; exposure_in -> Gdansk; exposure_in -> Via Serrone ? Guardia Perticara (Pz)
48,"Particulate matter (PM10, Lead)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_Pb,Seremange-Erzange,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_seremange_erzange,5.9708,exposure_in -> Kiel; exposure_in -> Cerceda; exposure_in -> Villaharta
49,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Kolin,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/CZ_kolin,5.9651,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
50,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Augusta,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_augusta,5.9309,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
