rank,GeographicRegion_label,GeographicRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,6.1694,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
12,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,6.0469,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
13,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,6.0438,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
14,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,6.0397,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
15,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,6.0257,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
16,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,6.0229,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
17,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,6.016,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
18,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,6.0088,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
19,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,6.0018,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
20,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,5.9973,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
21,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,5.9842,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
22,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,5.9709,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
23,Gyeongnam Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongnam_region,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,5.965,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
24,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,5.9635,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
25,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,5.9549,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
26,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2013,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2013,5.9454,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
