Notes,Cancer Sites,Cancer Sites Code,Sex,Sex Code,Year,Year Code,age,age_code,Ethnicity,Ethnicity Code,Count,disease_id,disease_name,mcs_id,mcs_name,people_id,vs_id,country_id,country_name,country
,Lung and Bronchus,22030,Female,F,2000,2000.0,35-39 years,35-39,Non-Hispanic,2186-5,547,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_35-39_female_non-hispanic,vstat_C0242379_US_PRI_35-39_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,40-44 years,40-44,Hispanic,2135-2,78,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_hispanic,vstat_C0242379_US_PRI_40-44_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,40-44 years,40-44,Non-Hispanic,2186-5,1525,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_non-hispanic,vstat_C0242379_US_PRI_40-44_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,45-49 years,45-49,Hispanic,2135-2,112,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_hispanic,vstat_C0242379_US_PRI_45-49_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,45-49 years,45-49,Non-Hispanic,2186-5,2580,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_non-hispanic,vstat_C0242379_US_PRI_45-49_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,50-54 years,50-54,Hispanic,2135-2,162,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_hispanic,vstat_C0242379_US_PRI_50-54_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,50-54 years,50-54,Non-Hispanic,2186-5,4656,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_non-hispanic,vstat_C0242379_US_PRI_50-54_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,55-59 years,55-59,Hispanic,2135-2,231,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_55-59_female_hispanic,vstat_C0242379_US_PRI_55-59_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,55-59 years,55-59,Non-Hispanic,2186-5,7246,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_55-59_female_non-hispanic,vstat_C0242379_US_PRI_55-59_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,60-64 years ,60-64,Hispanic,2135-2,283,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_60-64_female_hispanic,vstat_C0242379_US_PRI_60-64_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,60-64 years ,60-64,Non-Hispanic,2186-5,9536,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_60-64_female_non-hispanic,vstat_C0242379_US_PRI_60-64_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,65-69 years,65-69,Hispanic,2135-2,356,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_65-69_female_hispanic,vstat_C0242379_US_PRI_65-69_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,65-69 years,65-69,Non-Hispanic,2186-5,12274,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_65-69_female_non-hispanic,vstat_C0242379_US_PRI_65-69_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,70-74 years,70-74,Hispanic,2135-2,353,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_70-74_female_hispanic,vstat_C0242379_US_PRI_70-74_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,70-74 years,70-74,Non-Hispanic,2186-5,14782,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_70-74_female_non-hispanic,vstat_C0242379_US_PRI_70-74_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,75-79 years,75-79,Hispanic,2135-2,299,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_75-79_female_hispanic,vstat_C0242379_US_PRI_75-79_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,75-79 years,75-79,Non-Hispanic,2186-5,13533,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_75-79_female_non-hispanic,vstat_C0242379_US_PRI_75-79_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,80-84 years,80-84,Hispanic,2135-2,206,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_80-84_female_hispanic,vstat_C0242379_US_PRI_80-84_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,80-84 years,80-84,Non-Hispanic,2186-5,8638,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_80-84_female_non-hispanic,vstat_C0242379_US_PRI_80-84_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,85+ years,85+,Hispanic,2135-2,177,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_85+_female_hispanic,vstat_C0242379_US_PRI_85+_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2000,2000.0,85+ years,85+,Non-Hispanic,2186-5,5640,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_85+_female_non-hispanic,vstat_C0242379_US_PRI_85+_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,20-24 years,20-24,Non-Hispanic,2186-5,17,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_20-24_female_non-hispanic,vstat_C0242379_US_PRI_20-24_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,25-29 years,25-29,Non-Hispanic,2186-5,45,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_25-29_female_non-hispanic,vstat_C0242379_US_PRI_25-29_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,30-34 years,30-34,Non-Hispanic,2186-5,126,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_30-34_female_non-hispanic,vstat_C0242379_US_PRI_30-34_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,35-39 years,35-39,Hispanic,2135-2,24,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_35-39_female_hispanic,vstat_C0242379_US_PRI_35-39_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,35-39 years,35-39,Non-Hispanic,2186-5,555,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_35-39_female_non-hispanic,vstat_C0242379_US_PRI_35-39_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,40-44 years,40-44,Hispanic,2135-2,81,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_hispanic,vstat_C0242379_US_PRI_40-44_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,40-44 years,40-44,Non-Hispanic,2186-5,1509,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_non-hispanic,vstat_C0242379_US_PRI_40-44_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,2001,2001.0,45-49 years,45-49,Hispanic,2135-2,96,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_hispanic,vstat_C0242379_US_PRI_45-49_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
